Y_0,Y_1,Y_2,Y_3,Y_4,Y_5,Y_6,Y_7,Y_8,Y_9,Y_10,Y_11,Y_12,Y_13,Y_14,Y_15,Y_16,Y_17,Y_18,Y_19,Y_20,Y_21,Y_22,Y_23,Y_24,Y_25,Y_26,Y_27,Y_28,Y_29,Y_30,Y_31,Y_32,Y_33,Y_34,Y_35,Y_36,Y_37,Y_38,Y_39,Y_40,Y_41,Y_42,Y_43,Y_44,Y_45,Y_46,Y_47,Y_48,Y_49
0.98352665,-0.42742366,-0.8175005,0.98886395,0.9839009,2.4473667,0.06691465,1.050404,-2.410741,1.5472283,1.7810352,-1.5826321,-0.8282441,1.7032276,0.7728221,-0.7886836,0.20909002,0.631922,2.0092826,0.1454885,-0.6220602,-2.3785222,-2.6719804,0.562933,0.8379941,-0.87796164,-2.2788055,0.71828914,-0.20604195,-1.1449504,-0.8157522,-2.8206515,-0.05911851,-0.23541039,-0.6899655,0.42180568,-0.6084684,-1.1311988,-1.7955012,0.009479895,0.41779816,0.1696226,-0.8363545,-2.0779855,-0.9006243,0.8745474,1.7436609,-1.2507524,-0.16971806,0.013802886
1.2614295,0.14444715,-0.17463717,0.8935895,0.5642885,1.6146603,0.001704812,1.0735627,-3.044201,2.2767797,1.3942611,-1.4262347,0.10895604,1.518492,-0.44557667,-0.77386755,0.14480387,0.36726174,-0.31923246,0.9016962,-0.20758133,-4.57246,-2.1401591,0.7312017,1.3204923,-0.7309616,-1.8707442,0.49414074,-0.34633034,-0.85670394,-0.60249305,2.5524888,-0.20870018,-0.3754044,-7.944769,0.10317022,0.7101865,-1.2282872,-1.4119381,0.22566,-0.47872934,0.55177116,-0.3322174,-1.0763376,-0.8442524,-0.49065158,0.2600388,-1.8727243,-0.64493394,0.015521705
0.9035859,2.120967,-0.11398992,0.9579712,1.2138826,1.4124284,-1.2526017,1.4151976,-2.380865,2.4922793,1.9871686,-1.3717761,-0.5578425,1.667634,1.9695892,-0.6787334,0.37228608,1.1529565,0.31717336,1.1996129,1.1642187,-4.1548796,5.5425963,-1.5295231,1.8465964,-0.8062989,-1.6449008,2.2228184,-2.9160697,-0.901228,-0.57199943,2.4804811,-0.06655927,-0.5149746,-2.2566926,0.07516253,1.5921298,-0.73448336,-0.70892525,0.25352764,1.3355099,0.492524,-2.4297082,-2.9243293,-0.834897,-0.1860952,1.3958812,-1.5387223,-0.30574828,0.012290925
0.81388086,0.2827376,-0.7420062,0.66641784,0.9524225,2.2309184,-0.22881141,0.37220705,-2.6186013,1.6717275,1.814026,-1.5436369,-0.2239277,1.3119347,0.8728885,-0.36191183,0.16162601,1.567418,0.030414373,0.71656436,0.84683734,-6.250732,0.56506336,-1.350496,1.3726614,-0.6437829,-2.0542583,-0.38786697,-1.0067273,-0.8233957,-0.54775286,-0.27107525,-0.13590443,-0.3860061,4.3928514,0.4218728,2.0673482,-2.5137558,-1.6746068,0.77808714,-3.5823064,0.76717955,-0.6794634,-1.3867064,-0.8636616,-0.013991222,1.524609,-1.5756257,-0.9201542,-0.73501456
0.88340217,1.3186117,-0.25044253,0.4718739,1.2242973,2.8520565,-0.57594717,0.10022333,-0.5916059,1.6439903,2.0153568,-1.1847768,0.7922588,1.7077342,1.8784887,-0.48231027,0.2698224,1.2090038,-0.9959471,0.68580383,0.25704664,-2.1075923,1.104206,0.49361545,1.8476695,-0.6830154,-1.5730573,0.37043273,0.64228797,-0.84986544,-0.6731252,2.6457846,-0.47969404,-0.43629202,4.41972,0.17117453,0.95682985,-0.2568769,-0.83193576,0.14533442,0.39820412,-0.502776,1.9389342,-1.4981626,-0.7660589,2.0359302,1.8455226,-1.3975921,0.18706158,-1.135178
0.5501286,0.46517754,-0.68129396,0.6059432,0.8383213,0.95481616,-0.5277662,-1.6239669,-1.4665341,2.1032417,2.1888375,-1.1599209,-0.88790107,1.8167729,2.1521306,-0.6978992,0.5114831,1.6326697,0.5983593,0.97307384,-0.3867589,-1.7058054,-0.6145153,0.19398326,1.6616708,-0.94892704,-1.4154509,1.1437839,0.304101,-0.83659387,-0.41280124,-0.38054454,-0.32789254,-0.13495642,-2.087274,0.084843695,1.1736943,-2.726817,-1.4003432,0.41952646,-3.9974265,0.19505978,-0.35688147,-1.508814,-0.94192743,-0.07394882,1.8111291,-1.4254702,-0.3395185,-0.5117748
1.0641706,-0.23349237,-0.18461898,0.4404812,1.1872566,1.5167773,-0.55552936,0.6890931,-0.1616416,2.2003396,1.4604354,-1.4744637,-0.8825581,1.6916094,2.6547923,-0.62024796,0.42338234,1.2253034,0.24325778,0.32013828,-0.08187476,1.3283491,0.36139,-2.134792,1.5887201,-0.76389813,-1.4693279,1.5420891,-0.27263194,-0.66944337,-1.1988223,-0.13181388,-0.5508728,-0.33024895,-5.639745,0.30884224,0.19524227,-0.8982814,-1.214595,-0.08949214,2.6261806,0.37345922,0.18462388,-1.7656288,-0.8683263,0.3194127,0.4247772,-1.0358144,-0.34927773,-0.7414368
0.83165765,1.8712472,-0.4207583,0.3219334,0.9734794,2.2655978,-0.44418913,-1.2213151,-0.080320835,1.2636273,1.3610598,-1.2916534,-0.3002868,1.8244731,-2.0020194,-0.6384417,0.490682,0.776006,-1.1890765,0.9841857,-1.1231793,5.061536,1.4104282,-3.275809,1.2230247,-1.0098877,-2.483644,0.37356925,-0.2829514,-1.10676,-0.66884315,0.18564117,-0.09725296,-0.24626838,-2.7930882,0.028134122,-2.5686097,-1.9634501,-1.5790133,0.15651585,-1.9424102,1.1712431,0.49780872,-1.4379997,-0.80950606,-0.7180347,1.7243351,-0.7671398,-0.22138166,-0.011145443
0.60710424,1.0726216,-0.91598976,0.86612344,0.7650998,1.9702845,-0.30279857,-1.9451942,-0.46590745,1.3599403,1.6774726,-1.401763,-0.97457117,1.7897264,0.40090656,-0.8768702,0.048436597,0.52088106,0.048110723,0.9243757,-0.8096452,0.5530534,1.3411,1.9581957,1.9487754,-0.8154182,-1.4877933,1.7869072,-2.0409117,-0.98606384,-0.57269555,1.5380903,-0.114127465,-0.52346456,-12.203709,-0.066996515,1.3428158,1.0527519,-1.5633821,0.62693954,-0.98801976,-0.30686215,2.6032019,-2.0546594,-0.7959963,0.36717644,1.4766414,-1.311363,0.13628554,-0.81895816
0.7796811,1.8886496,0.09281033,0.3993182,0.87528515,2.8465507,-0.1904968,3.0902445,-3.2344022,2.4705179,2.0583463,-1.4887116,1.0977006,1.7342606,0.12001532,-0.5464227,0.25755626,0.5114902,0.9335617,0.19393587,1.2354898,-6.590771,3.1697836,-0.022826612,1.0468485,-0.7841367,-1.9274124,3.104409,-0.79961985,-1.1880349,-1.4060862,2.0280411,-0.10434511,-0.19896711,-5.061544,0.33438796,-0.39028686,-2.8596916,-1.325638,-0.02716051,1.259825,-0.13562831,-0.46114382,-1.297001,-0.7085147,1.0956216,1.2215847,-1.6891147,-0.19600649,-0.12299082
